SHA256,SIZE,MARKET,PERMISSIONS_LIST,api_DEVICEID,api_EXEC,api_CIPHER,api_SMSMANAGER,api_DYN_LOAD,int_BOOT,LABEL
78120020956414A92129F2C78DB48BF721779648399E9AB6FBFD8B1AE053CE08,103419940,play.google.com,android.permission.BLUETOOTH|android.permission.BLUETOOTH_ADMIN|android.permission.INTERNET|android.permission.WRITE_EXTERNAL_STORAGE,1,0,1,0,1,0,0
175B10A25839E682C2F32243CE43A70514959FF06499FAEAE195763B76603160,51162820,play.google.com,android.permission.ACCESS_NETWORK_STATE|android.permission.CAMERA|android.permission.INTERNET|android.permission.READ_EXTERNAL_STORAGE|android.permission.READ_PHONE_STATE|android.permission.USE_BIOMETRIC|android.permission.USE_FINGERPRINT|android.permission.WAKE_LOCK|android.permission.WRITE_EXTERNAL_STORAGE|com.google.android.c2dm.permission.RECEIVE|com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE|com.protrade.phillipcapital.permission.C2D_MESSAGE|com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,1,0,1,0,1,0,0
EB794DCAF82671F3C5AED60E7B71019135DB2553C30AB79AFFA2D59CDC4EBA3A,16578335,play.google.com,android.permission.ACCESS_NETWORK_STATE|android.permission.ACCESS_WIFI_STATE|android.permission.FLASHLIGHT|android.permission.FOREGROUND_SERVICE|android.permission.INTERNET|android.permission.POST_NOTIFICATIONS|android.permission.READ_EXTERNAL_STORAGE|android.permission.RECEIVE_BOOT_COMPLETED|android.permission.VIBRATE|android.permission.WAKE_LOCK|android.permission.WRITE_EXTERNAL_STORAGE|com.google.android.c2dm.permission.RECEIVE|com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE|com.google.android.gms.permission.AD_ID|com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,1,0,1,0,1,1,0
A7B66D01AC2F9A8141937408F4CDE8B59BB6B1D2006822C6B10698C81D05CD5B,96993557,play.google.com,android.permission.ACCESS_NETWORK_STATE|android.permission.CAMERA|android.permission.FOREGROUND_SERVICE|android.permission.INTERNET|android.permission.MANAGE_DOCUMENTS|android.permission.POST_NOTIFICATIONS|android.permission.READ_APP_BADGE|android.permission.READ_CALENDAR|android.permission.READ_EXTERNAL_STORAGE|android.permission.RECEIVE_BOOT_COMPLETED|android.permission.SCHEDULE_EXACT_ALARM|android.permission.VIBRATE|android.permission.WAKE_LOCK|android.permission.WRITE_EXTERNAL_STORAGE|com.anddoes.launcher.permission.UPDATE_COUNT|com.android.alarm.permission.SET_ALARM|com.google.android.c2dm.permission.RECEIVE|com.hamelin.wanapp.permission.C2D_MESSAGE|com.htc.launcher.permission.READ_SETTINGS|com.htc.launcher.permission.UPDATE_SHORTCUT|com.huawei.android.launcher.permission.CHANGE_BADGE|com.huawei.android.launcher.permission.READ_SETTINGS|com.huawei.android.launcher.permission.WRITE_SETTINGS|com.majeur.launcher.permission.UPDATE_BADGE|com.oppo.launcher.permission.READ_SETTINGS|com.oppo.launcher.permission.WRITE_SETTINGS|com.sec.android.provider.badge.permission.READ|com.sec.android.provider.badge.permission.WRITE|com.sonyericsson.home.permission.BROADCAST_BADGE|com.sonymobile.home.permission.PROVIDER_INSERT_BADGE|me.everything.badger.permission.BADGE_COUNT_READ|me.everything.badger.permission.BADGE_COUNT_WRITE,1,0,1,0,1,1,0
685722E2FE098E9F6FD4E73EC00E7F3F3ACEF152E6EF9E4BAA1DE76A6D8FAB26,44701598,play.google.com,android.permission.ACCESS_NETWORK_STATE|android.permission.ACCESS_WIFI_STATE|android.permission.CAMERA|android.permission.FOREGROUND_SERVICE|android.permission.HIGH_SAMPLING_RATE_SENSORS|android.permission.INTERNET|android.permission.READ_CONTACTS|android.permission.READ_DEVICE_CONFIG|android.permission.READ_EXTERNAL_STORAGE|android.permission.REORDER_TASKS|android.permission.SYSTEM_ALERT_WINDOW|android.permission.USE_BIOMETRIC|android.permission.USE_FINGERPRINT|android.permission.VIBRATE|android.permission.WAKE_LOCK|android.permission.WRITE_EXTERNAL_STORAGE|com.dbs.ideal.permission.PROCESS_PUSH_MSG|com.dbs.ideal.permission.PUSH_PROVIDER|com.google.android.c2dm.permission.RECEIVE|com.google.android.gms.permission.AD_ID|com.google.android.providers.gsf.permission.READ_GSERVICES|com.huawei.hwid.permission.gameservice.archive.access.provider,1,0,1,0,1,0,0
7C9769C280F7D2C3A762D7AF5AC4B4C50B090E029A0344806D20D6E2804D176F,54954772,play.google.com,android.permission.ACCESS_NETWORK_STATE|android.permission.ACCESS_WIFI_STATE|android.permission.CAMERA|android.permission.FLASHLIGHT|android.permission.FOREGROUND_SERVICE|android.permission.INTERNET|android.permission.READ_EXTERNAL_STORAGE|android.permission.USE_BIOMETRIC|android.permission.USE_FINGERPRINT|android.permission.WRITE_EXTERNAL_STORAGE,1,0,1,0,1,0,0
F21CB42BEEFD3977187E3184F4E84BF4BF4C2E6E0D3B853F45BD5C218E3267B0,127414033,play.google.com,aero.panasonic.inflight.permission.ACCESS_IFESERVICE|android.permission.ACCESS_COARSE_LOCATION|android.permission.ACCESS_FINE_LOCATION|android.permission.ACCESS_LOCATION_EXTRA_COMMANDS|android.permission.ACCESS_MOCK_LOCATION|android.permission.ACCESS_NETWORK_STATE|android.permission.ACCESS_WIFI_STATE|android.permission.CAMERA|android.permission.FOREGROUND_SERVICE|android.permission.INTERNET|android.permission.MODIFY_AUDIO_SETTINGS|android.permission.READ_APP_BADGE|android.permission.RECEIVE_BOOT_COMPLETED|android.permission.USE_FULL_SCREEN_INTENT|android.permission.VIBRATE|android.permission.WAKE_LOCK|android.webkit.resource.AUDIO_CAPTURE|android.webkit.resource.VIDEO_CAPTURE|com.anddoes.launcher.permission.UPDATE_COUNT|com.google.android.c2dm.permission.RECEIVE|com.hawaiianairlines.app.permission.UA_DATA|com.htc.launcher.permission.READ_SETTINGS|com.htc.launcher.permission.UPDATE_SHORTCUT|com.huawei.android.launcher.permission.CHANGE_BADGE|com.huawei.android.launcher.permission.READ_SETTINGS|com.huawei.android.launcher.permission.WRITE_SETTINGS|com.majeur.launcher.permission.UPDATE_BADGE|com.oppo.launcher.permission.READ_SETTINGS|com.oppo.launcher.permission.WRITE_SETTINGS|com.sec.android.provider.badge.permission.READ|com.sec.android.provider.badge.permission.WRITE|com.sonyericsson.home.permission.BROADCAST_BADGE|com.sonymobile.home.permission.PROVIDER_INSERT_BADGE|me.everything.badger.permission.BADGE_COUNT_READ|me.everything.badger.permission.BADGE_COUNT_WRITE,1,0,1,0,1,1,0
D5CFE441885C0F2458FFF6A741197620C057A05BC73A7D5DE597B0AD51425BDF,84607807,play.google.com,android.permission.ACCESS_NETWORK_STATE|android.permission.ACCESS_NOTIFICATION_POLICY|android.permission.BIND_NOTIFICATION_LISTENER_SERVICE|android.permission.BLUETOOTH|android.permission.BLUETOOTH_ADMIN|android.permission.BLUETOOTH_ADVERTISE|android.permission.BLUETOOTH_CONNECT|android.permission.BLUETOOTH_SCAN|android.permission.CALL_COMPANION_APP|android.permission.FOREGROUND_SERVICE|android.permission.INTERNET|android.permission.LOCATION_HARDWARE|android.permission.RECEIVE_BOOT_COMPLETED|android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND|android.permission.REQUEST_COMPANION_USE_DATA_IN_BACKGROUND|android.permission.SET_ACTIVITY_WATCHER|android.permission.SYSTEM_ALERT_WINDOW|android.permission.WAKE_LOCK|android.permission.WRITE_EXTERNAL_STORAGE|com.google.android.gms.permission.AD_ID,1,0,1,0,1,1,0
1A6B74B3AD5E8FDE54EF14CAD5B9AD20B81F284F9242199A2939904BC8C1D674,42857855,play.google.com,android.permission.ACCESS_COARSE_LOCATION|android.permission.ACCESS_FINE_LOCATION|android.permission.ACCESS_NETWORK_STATE|android.permission.ACCESS_WIFI_STATE|android.permission.BLUETOOTH|android.permission.BLUETOOTH_ADMIN|android.permission.CAMERA|android.permission.GET_ACCOUNTS|android.permission.INTERNET|android.permission.NFC|android.permission.SYSTEM_ALERT_WINDOW|android.permission.VIBRATE|android.permission.WAKE_LOCK|android.permission.WRITE_EXTERNAL_STORAGE|com.d3.android.mvsoc.permission.C2D_MESSAGE|com.d3.android.mvsoc.permission.MAPS_RECEIVE|com.google.android.c2dm.permission.RECEIVE|com.google.android.providers.gsf.permission.READ_GSERVICES,1,0,1,0,1,0,0
67DA6CD84267AB6F129D8D6A23B2139FEF84116021DF75D2C0EF714438352794,65569214,play.google.com,android.permission.ACCESS_NETWORK_STATE|android.permission.ACCESS_WIFI_STATE|android.permission.CAMERA|android.permission.INTERNET|android.permission.READ_EXTERNAL_STORAGE|android.permission.USE_BIOMETRIC|android.permission.USE_FINGERPRINT|android.permission.VIBRATE|android.permission.WAKE_LOCK|android.permission.WRITE_EXTERNAL_STORAGE|com.google.android.c2dm.permission.RECEIVE,1,0,1,0,1,0,0
