sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
D7F0F184EEB934595736364B863A23BCAC28F61B4FAA0CE58ABD67FEED370357,608FDBC6E2E1DF96B237B6B0216ED1A3A9D43915,59A23E2D59364EA08AE73E1657AFE978,1981-01-01 01:01:02,5727685,com.atakmap.android.gbr.taksatplanner.plugin,20230818,0.0,2023-12-14 07:07:39,8470680,play.google.com
222A302278554D85271338C584089F781043C9551618C2F1B321261B21194D6D,179C519AE98209E3DF6B0AFF5A7B72358C83DBDF,4C9BFFB3CE0F9A84785CAA8AAE5FEF55,1981-01-01 01:01:02,23864490,com.atakmap.android.gbr.vx.plugin,20250408,0.0,2025-10-14 06:56:41,8063792,play.google.com
B02D1271D0A861953B6A6138AF2D2F493A79B5BA7A943871DA3E61B79F31CC0C,71EF2202A352E3E864D35C4BE286A5D76278C181,DE3162E357D57136A4CF4FAA92222267,1981-01-01 01:01:02,6711033,com.atakmap.android.takchat.plugin,1746947627,0.0,2025-09-16 08:37:42,5437884,play.google.com
EE960FA1D8B34A68CE5F9662715E91073A5223A228CCD0BDF740A45545F679FE,8BDF78562BC700FAD2F2C61194B5330FF8DF8FDC,ABDBD8B6294E84B02AB83EA3B83B8C97,1981-01-01 01:01:02,77975433,com.atakmap.android.uastool.plugin,1749763928,0.0,2025-08-04 07:50:17,6726876,play.google.com
3152A161D42BEA69A178AEDAA8ECB5DDAAC02380A559593FE45AF792BB3522DA,2778267F877DB1B4F08B12F66BE0D38BD30E908D,7378A384F499116C40720F52A9FB7EDE,1981-01-01 01:01:02,10119190,com.atakmap.android.vns.plugin,1758725449,0.0,2025-10-13 11:40:08,7875264,play.google.com
821A7985808AF3FE36580AF60A0449B4D28F85CF8E4AF51CB1E693E4888D9BA2,9BC7466295A6BEDA0A92AFEF48039D05D567CC52,3096C21D6764DC74DADF410E27ADEF50,1981-01-01 01:01:02,15655987,com.ballistic.calculator.strelok,28,0.0,2025-02-05 07:05:18,3331400,play.google.com
A68928C3B53A6D3E30E433E9FBDD3A58D563EED19F2028CC1146BF922F8BA3C7,6A8C87363CD096CFD2F8F1D72D42A6D7B2C06D14,E05D2439C6A134CC742404AB87BDF0A7,1981-01-01 01:01:02,29290462,com.biptt,289,0.0,2025-11-17 08:28:31,8222124,play.google.com
A5DA33D72054B4448F75B3DEE5CE1617E99B28231F7CFD7A644826030E763DE0,E7C578C46858341A003B44D271B64716852822B3,F08BE94945D43B576DC2E42CC4067DD6,1981-01-01 01:01:02,174790991,com.bookoo.mantis.lasertrainer,30007,,,7503744,play.google.com
E05CFA5B6F48F8F6921135E71C5AF9305A9C10D0709F853C50A1DD573D1A19E2,977FEDA2B3181D513ED42296EFAC610D2A7AB427,2B93E1F6AEBDB625B449C83748D26202,1981-01-01 01:01:02,40519754,com.bushnell.ballistics.ab,260,0.0,2024-12-23 06:54:13,8371260,play.google.com
2DA6D6E7FBC0CA381EC9F90532309B90FDAD51503F206ACB67B16A8E80753320,0304B16A56B5872879E6F07670650AE38C59AB37,60910CBC23E83630CF181989D64C526F,1980-01-01 00:00:00,43489714,com.corget.peak,985,0.0,2022-12-03 11:45:19,8963120,play.google.com
F41F83B143FD3FA571DCFF20D57AC84CAA94A7B28E1B8539820E5BA2D401ADE4,2B733B24378474F619B70F53A854E37AE497E563,7C782092FEC732DA5A1625DC83BDD01B,1981-01-01 01:01:02,14245267,com.davesprojects.acftcalc,8,0.0,2025-11-05 10:34:28,9613228,play.google.com
894668B7328578E63F0E6AE9FEAAC489EF4A7E565B193EE6D44B3E27EB361FA0,5BDD6493EAD1B89B08B8A46AF5209FD3FA2BF129,3E39B7D733596E614C9E06E931916C39,2015-11-16 19:40:44,7960207,com.discipleskies.android.gpswaypointsnavigator,149,0.0,2018-11-07 17:11:03,2191344,appchina
861C3466B32E950CA66664E6630AFFB758DAB2802C68D61C32BCBAFE4F767041,8850B125663861093BAE15E0951946B9932B13E2,BB32BADEBF56447EEAF0B5D6C1EC487D,1981-01-01 01:01:02,45061081,com.ekik.mgrs.android,6,0.0,2025-06-23 22:12:46,8703152,play.google.com
899D6F224EB9516DCA30259425C3841C6987B126055BDD351384DDE10002D4BE,DFA3F5B9494E93121A15E8CBFAF0C820C52461D3,89BC05504135081721C92AF2AF029F0E,1981-01-01 01:01:02,17846300,com.elbit.italk,60801009,,,9208300,play.google.com
F64B06762C438504FE5A32F21031045110DDFB88E7D8A7BDD9E37EBFAF3DD6BD,35B1206E509011A312FDEB7BDA16BB5E237DB2F4,FFAB0398C0A8880F478986F6300D1CB5,1980-01-01 00:00:00,7159253,com.elbit.italk.apac,40519,0.0,2019-12-18 03:57:44,8060452,play.google.com
593E98C0BAC386C3742659C40CF273823BFF69FA50391965AB4A477F5FBE5046,9AAAEF4377A808410FA5A4D8DDA3118EB7FD94BC,0C020DD7910E3F0437E8A51ADF02A592,1981-01-01 01:01:02,9007981,com.elbit.italk.dispatcher,4100018,0.0,2022-03-04 11:00:35,8412584,play.google.com
D5CBB337C8944616DB11190B1CB1E4A0D08282DFC1CC1B8BCD96A86CDE551634,F48FBD45D068BC68CCF1476538580FF141DE2840,EBD0A136D527C23179303BBD9FD73810,1981-01-01 01:01:02,9252878,com.get.gsappalpha1,5012,0.0,2025-04-26 06:16:49,1135952,play.google.com
EDE5EC98C04CF429A48FD9F6535A17556359BA0894D2A5EBD6FA848988287D47,708A02638DB06B4E51E3CC1EDD41208531C2954B,AFC34FED42B3CE34701F9E8364462EC8,1980-01-01 00:00:00,6490777,com.get.gsappalpha1a,1,0.0,2020-07-24 12:26:54,837112,play.google.com
4F9D78F10B0C45031CB967F1D1C3775C961C70EED4414D469788A371C026CC5F,66FE297AB0B4C2F904F0D8927E7BF25C46C57C02,FBE78F91FAA1C95AD16DF9D20DA47568,1981-01-01 01:01:02,54171332,com.guide.ballistics.at,174,0.0,2025-09-05 09:09:45,11275300,play.google.com
